id,postalCode,province
AVwc252WIN2L1WUfpqLP,92067,CA
AVwdOclqIN2L1WUfti38,21076,MD
AVwePiAX_7pvs4fzBSAl,98684,WA
AVwdUKE3_7pvs4fz4lE-,64105,MO
AVweQyWNkufWRAb5BZeg,16652,PA
AVweQDZpIN2L1WUf3TA9,31069,GA
AVwdQ0dy_7pvs4fz4BqX,94103,CA
AVwdKLPU_7pvs4fz23YA,8360,NJ
AWE7dKHFIxWefVJwyLgA,20745,MD
AVwcfFGw_7pvs4fzvk4S,92130,CA
AVwdbM6R_7pvs4fz5wdc,60018,IL
AVwemBCCkufWRAb5EZCs,34744,FL
AWE2CYSsIxWefVJwyDrn,60601,IL
AV-TGsFqRxPSIh2RmVF-,2114,MA
AVwct7BzIN2L1WUfoHaP,70130,LA
AWKpI38Q3-Khe5l_hxUR,89101,NV
AWKlQWNQa4HuVbedPUSi,89101,NV
AVzX1GbfFcQ3k02bB73-,2116,MA
AWEhoizBa4HuVbedNJo_,2118,MA
AV-TGwqGIxWefVJwr5Ji,33139,FL
AV3O9oECIxWefVJwjraT,10019,NY
AWNSHai33-Khe5l_ifzh,96815,HI
AWE7h8u53-Khe5l_f4mi,10007,NY
AV1eTXQF3-Khe5l_NF6Q,10016,NY
AWE7h7Cta4HuVbedNeQt,70112,LA
AWE2E2OG3-Khe5l_fwmT,70130,LA
AWKpYhaja4HuVbedPVes,33139,FL
AWKkrZYpa4HuVbedPT1I,89109,NV
AVzOLyE1FcQ3k02bBr9S,10013,NY
AWE2BgHcIxWefVJwyDYU,2116,MA
AVzX37zs-gnIPe8DTHi5,33131,FL
AVzYkxFXFcQ3k02bCKjD,2111,MA
AV-TGuWBa4HuVbedGcJK,10022,NY
AWKr8UBHa4HuVbedPWl2,90012,CA
AWKuEeWka4HuVbedPXff,60611,IL
AWE7he303-Khe5l_f4kC,60611,IL
AWEw3H-UIxWefVJwyAZ0,60654,IL
AV-TGwK3IxWefVJwr5IJ,60654,IL
AWUPNmq6IxWefVJw3c71,60654,IL
AWE1_Z8-RxPSIh2Rsaks,90210,CA
AWKoW_tYa4HuVbedPVUg,94103,CA
AVwdslPrIN2L1WUfyXgP,92118,CA
AVwdsLHMByjofQCxrmsd,19107,PA
AVwdoQs4IN2L1WUfxtHH,10011,NY
AVwdLbuu_7pvs4fz3FIK,60603,IL
AWE2CvxXa4HuVbedNVUf,89109-2010,NV
AVweMjEcIN2L1WUf208j,89101-5108,NV
AVwdLMav_7pvs4fz3CHy,89109-1220,NV
AVwdZiL7kufWRAb55fnk,94102-1102,CA
AVzOLf4aFcQ3k02bBrRN,94559-4010,CA
AVwdLdlp_7pvs4fz3Ffc,70112-1701,LA
AVwdcQ_1ByjofQCxpKUm,94559-4191,CA
AVwdlxF6ByjofQCxqnI2,75211-1313,TX
AV4zBlFx3-Khe5l_SI6V,33040-4535,FL
AVwc93g4_7pvs4fz02fD,60657-2414,IL
AVweERJikufWRAb5_tYe,98122-2812,WA
AV43XxGTIxWefVJwkpQ0,60629-5816,IL
AWIHh69e3-Khe5l_hRq9,60659-3739,IL
AVzOLPqy-gnIPe8DSyDW,60611-2707,IL
AWE70c43RxPSIh2Rslyx,85009-3160,AZ
AVwegEP1IN2L1WUf5hhB,85029-3304,AZ
AVwc-7e9ByjofQCxkSN3,85043-1770,AZ
AVwc800dByjofQCxj9NN,85053-2012,AZ
AVwdNRg6_7pvs4fz3aAJ,85013-2202,AZ
AVzYm8FDFcQ3k02bCM1F,10012-4613,NY
AVwcy8jBByjofQCxiRyD,30313-1801,GA
AVzA2-V13D1zeR_xBA7B,10038-2415,NY
AVwcmSKR_7pvs4fzw4Vf,30305-1444,GA
AVwddxakByjofQCxpZKW,30328-5329,GA
AV6ZfnuiRxPSIh2RlHtM,30336-1731,GA
AV50HD7R3-Khe5l_WcdI,10024-2843,NY
AVwcolBg_7pvs4fzxSnV,30328-6118,GA
AWEw_jvdIxWefVJwyC31,30329-1015,GA
AVweJx1yIN2L1WUf2dB6,10016-7902,NY
AVwcqez9IN2L1WUfng2u,98109-4433,WA
AVz1iS0Q-gnIPe8DUYOb,98109-4412,WA
